銘柄情報,銘柄名,銘柄コード,国名コード,種別,取引値
取引日,単価,購入数,売却数,手数料,配当･分配,税,コメント
2014/12/30,202.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,243.5000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,野村ホールディングス,8604,JP,株式(現物),679.1000,http://www.nomuraholdings.com/jp/investor/
2011/12/30,233.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,503.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,809.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,690.2000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,679.1000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,東京海上ホールディングス,8766,JP,株式(現物),4712.0000,http://ir.tokiomarinehd.com/ja/Top.html
2011/12/30,1705.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,2383.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,3515.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,3933.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,4712.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,三井不動産,8801,JP,株式(現物),3056.0000,http://www.mitsuifudosan.co.jp/corporate/ir/index.html?id=global
2011/12/30,1122.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,2090.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,3785.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,3255.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,3056.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,三菱地所,8802,JP,株式(現物),2523.5000,http://www.mec.co.jp/j/investor/index.html
2011/12/30,1150.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,2049.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,3145.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,2555.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,2523.5000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,東日本旅客鉄道,9020,JP,株式(現物),11450.0000,http://www.jreast.co.jp/company/index.html
2011/12/30,4900.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,5580.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,8380.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,9123.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,11450.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,東海旅客鉄道,9022,JP,株式(現物),21600.0000,http://company.jr-central.co.jp/ir/index.html
2011/12/30,6500.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/30,7000.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,12380.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,18140.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,21600.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,日本電信電話,9432,JP,株式(現物),4836.0000,http://www.ntt.co.jp/ir/
2011/12/30,3935.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,3630.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,5660.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,6211.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,4836.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,KDDI,9433,JP,株式(現物),3154.0000,http://www.kddi.com/corporate/ir/index.html
2011/12/30,4950.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,6090.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,6470.0000,0.0000,0.0000,0.00,0.00,0.00,
